90 180401 279 28 0 81110 290 80801 289 28996 103 39260 140
91 180402 308 51 0 97109 315 127231 413 53872 174 67482 219
92 180403 154 22 0 64647 419 73091 474 24196 157 31850 206
93 180404 386 62 6 121687 315 153542 397 65595 169 80000 207
94 180405 392 70 6 135610 345 181469 462 76606 195 92882 236
95 180406 383 70 6 123588 322 165386 431 73119 190 94059 245
96 180407 240 42 1 99261 413 101206 421 26545 110 46832 195
97 180408 347 37 0 104128 300 106406 306 32306 93 52833 152
98 180409 391 68 7 126014 322 166084 424 81694 208 93067 238
99 180410 384 53 28 75730 197 140950 367 113226 294 123616 321
100 180411 419 24 0 71727 171 101021 241 73672 175 76427 182
101 180412 420 40 6 94126 224 129707 308 83339 198 88956 211
102 180413 400 43 3 103716 259 116698 291 54451 136 65548 163
103 180414 223 26 2 63036 282 71332 319 28712 128 34780 155
104 180415 343 38 1 95624 278 109237 318 45253 131 61093 178
105 180416 398 35 1 95042 238 110021 276 52151 131 65242 163
106 180417 395 28 6 68032 172 111961 283 81701 206 92074 233
107 180418 414 32 13 69755 168 109881 265 88131 212 91640 221
108 180419 414 43 6 98088 236 137168 331 85886 207 96139 232
109 180420 394 44 2 97614 247 126576 321 67749 171 84055 213
110 180421 221 18 0 55766 252 67035 303 30820 139 45415 205
111 180422 346 51 5 120610 348 145605 420 58619 169 73139 211
112 180423 395 48 6 88238 223 121804 308 71391 180 85960 217
113 180424 391 24 6 65184 166 94431 241 65906 168 79438 203
114 180425 413 48 2 112665 272 144159 349 63708 154 74446 180
115 180426 414 78 39 113748 274 189557 457 112887 272 121246 292
116 180427 399 71 1 149675 375 174285 436 54537 136 74112 185
117 180428 232 27 0 88542 381 84926 366 25236 108 38336 165
118 180429 322 34 3 106360 330 109455 339 35291 109 49056 152
119 180430 316 33 2 82106 259 97896 309 49736 157 63294 200
120 180501 294 30 0 83928 285 85706 291 28307 96 44472 151
121 180502 394 30 1 80105 203 86922 220 42000 106 62997 159
122 180503 406 34 10 87110 214 106881 263 62799 154 78747 193
123 180504 398 27 0 85048 213 94301 236 37135 93 58194 146
124 180505 238 23 0 68851 289 70592 296 22190 93 41515 174
125 180506 346 40 1 93480 270 98878 285 37005 106 51855 149
126 180507 397 30 1 70469 177 85621 215 51772 130 62136 156
127 180508 380 16 1 80481 211 93515 246 48843 128 63080 166
128 180509 404 35 1 104182 257 123219 304 56173 139 66270 164
129 180510 320 30 1 91627 286 96961 303 30699 95 52835 165
130 180511 295 22 0 74435 252 78266 265 30468 103 46534 157
131 180512 241 32 1 103185 428 100485 416 24598 102 38342 159
132 180513 354 62 0 155105 438 167358 472 38965 110 49736 140
133 180514 404 48 3 115216 285 136478 337 63935 158 82151 203
134 180515 402 54 3 114240 284 155687 387 92486 230 94669 235
135 180516 408 36 3 126130 309 134867 330 57402 140 74462 182
136 180517 380 31 2 98940 260 108766 286 58955 155 77702 204
137 180518 385 41 3 110419 286 132551 344 64293 166 78941 205
138 180519 250 54 2 158127 632 162461 649 33428 133 48967 195
139 180520 334 40 0 97128 290 109753 328 38815 116 50393 150
140 180521 378 26 1 85276 225 89258 236 39969 105 58365 154
141 180522 371 45 2 142713 384 150276 405 44616 120 63503 171
142 180523 404 40 1 107463 265 127533 315 63419 156 80693 199
143 180524 393 43 0 107589 273 119703 304 47818 121 62751 159
144 180525 397 34 0 122262 307 125585 316 37536 94 55289 139
145 180526 255 42 1 119447 468 112084 439 23227 91 32961 129
146 180527 336 57 2 140966 419 157829 469 51605 153 58109 172
147 180528 389 49 3 139413 358 150212 386 45241 116 51855 133
148 180529 370 49 0 126635 342 135568 366 39330 106 50381 136
149 180530 397 79 17 129900 327 184992 465 92964 234 105666 266
150 180531 391 56 0 159777 408 161669 413 43028 110 64237 164
151 180601 385 69 0 165355 429 175211 455 48857 126 65689 170
152 180602 257 45 1 127359 495 117609 457 25406 98 37242 144
153 180603 342 67 3 149666 437 159749 467 40390 118 59091 172
154 180604 358 52 2 115470 322 133145 371 53856 150 75449 210
155 180605 355 41 5 101074 284 124705 351 66134 186 79864 224
156 180606 315 34 2 110258 350 119830 380 38825 123 54919 174
157 180607 383 63 18 122607 320 173916 454 89260 233 96947 253
158 180608 377 70 15 129501 343 176441 468 86305 228 102228 271
159 180609 261 58 0 155006 593 152850 585 26371 101 40583 155
160 180610 338 78 2 176052 520 191917 567 44698 132 63845 188
161 180611 398 58 10 147265 370 177093 444 74610 187 83257 209
162 180612 382 44 4 114428 299 137087 358 65721 172 82510 215
163 180613 406 76 14 128114 315 199198 490 109931 270 119791 295
164 180614 397 60 5 122424 308 158392 398 68826 173 77685 195
165 180615 393 48 2 131894 335 147294 374 55929 142 79793 203
166 180616 268 56 2 135651 506 128711 480 25173 93 47446 177
167 180617 339 85 7 172959 510 211614 624 66387 195 82763 244
168 180618 386 72 6 144487 374 181760 470 78238 202 89361 231
169 180619 373 90 10 140358 376 193908 519 84137 225 100728 270
170 180620 397 80 20 140023 352 189806 478 96330 242 108985 274
171 180621 363 67 6 153694 423 182536 502 66052 181 88666 244
172 180622 279 77 2 182767 655 198062 709 46358 166 64757 232
173 180623 244 68 1 158571 649 154197 631 26280 107 43367 177
174 180624 323 88 2 162522 503 190350 589 56762 175 67071 207
175 180625 361 79 5 138158 382 183894 509 77415 214 85156 235
176 180626 352 43 1 120966 343 134964 383 49547 140 65364 185
